"coinPosition [mm]","Freq [MHz]","mag(Zt(Source1_T1,Source1_T1) - ((Zt(Source1_T1,Source2_T1)*Zt(Source2_T1,Source1_T1)))/(Zt(Source2_T1,Source2_T1)+50)) []"
15,1.12201845430196,50.0172731734926
15,1.25892541179417,50.0178483596108
15,1.41253754462275,50.0185064768354
15,1.58489319246111,50.0192473005429
15,1.77827941003892,50.0200670417158
15,1.99526231496888,50.0209586282714
15,2.23872113856834,50.0219127960249
15,2.51188643150958,50.0229199875225
15,2.81838293126445,50.0239728445655
15,3.16227766016838,50.0250689224541
15,3.54813389233575,50.0262132305522
15,3.98107170553497,50.0274203303399
15,4.46683592150963,50.02871593967
15,5.01187233627272,50.0301382062634
15,5.62341325190349,50.0317389523463
15,6.30957344480193,50.0335852353573
15,7.07945784384138,50.0357615414003
15,7.94328234724282,50.0383728694263
15,8.91250938133745,50.0415489078216
15,10,50.0454494655553
16,1,50.0167779338952
16,1.12201845430196,50.0172731734926
16,1.25892541179417,50.0178483596108
16,1.41253754462275,50.0185064768354
16,1.58489319246111,50.0192473005429
16,1.77827941003892,50.0200670417158
16,1.99526231496888,50.0209586282714
16,2.23872113856834,50.0219127960249
16,2.51188643150958,50.0229199875225
16,2.81838293126445,50.0239728445655
16,3.16227766016838,50.0250689224541
16,3.54813389233575,50.0262132305522
16,3.98107170553497,50.0274203303399
16,4.46683592150963,50.02871593967
16,5.01187233627272,50.0301382062634
16,5.62341325190349,50.0317389523463
16,6.30957344480193,50.0335852353573
16,7.07945784384138,50.0357615414003
16,7.94328234724282,50.0383728694263
16,8.91250938133745,50.0415489078216
16,10,50.0454494655553
17,1,50.0167779338952
17,1.12201845430196,50.0172731734926
17,1.25892541179417,50.0178483596108
17,1.41253754462275,50.0185064768354
17,1.58489319246111,50.0192473005429
17,1.77827941003892,50.0200670417158
17,1.99526231496888,50.0209586282714
17,2.23872113856834,50.0219127960249
17,2.51188643150958,50.0229199875225
17,2.81838293126445,50.0239728445655
17,3.16227766016838,50.0250689224541
17,3.54813389233575,50.0262132305522
17,3.98107170553497,50.0274203303399
17,4.46683592150963,50.02871593967
17,5.01187233627272,50.0301382062634
17,5.62341325190349,50.0317389523463
17,6.30957344480193,50.0335852353573
17,7.07945784384138,50.0357615414003
17,7.94328234724282,50.0383728694263
17,8.91250938133745,50.0415489078216
17,10,50.0454494655553
18,1,50.0167779338952
18,1.12201845430196,50.0172731734926
18,1.25892541179417,50.0178483596108
18,1.41253754462275,50.0185064768354
18,1.58489319246111,50.0192473005429
18,1.77827941003892,50.0200670417158
18,1.99526231496888,50.0209586282714
18,2.23872113856834,50.0219127960249
18,2.51188643150958,50.0229199875225
18,2.81838293126445,50.0239728445655
18,3.16227766016838,50.0250689224541
18,3.54813389233575,50.0262132305522
18,3.98107170553497,50.0274203303399
18,4.46683592150963,50.02871593967
18,5.01187233627272,50.0301382062634
18,5.62341325190349,50.0317389523463
18,6.30957344480193,50.0335852353573
18,7.07945784384138,50.0357615414003
18,7.94328234724282,50.0383728694263
18,8.91250938133745,50.0415489078216
18,10,50.0454494655553
19,1,50.0167779338952
19,1.12201845430196,50.0172731734926
19,1.25892541179417,50.0178483596108
19,1.41253754462275,50.0185064768354
